,District,Member,Party,Prior experience,Education,Assumed office,Residence,Born,Age,Surname,link,gender
0,Alabama 1,Jerry Carl,Republican,Mobile County Commission,Florida Gateway College,2021,Mobile,1958-06-17,63,Carl,/143749/jerry-carl,1
1,Alabama 2,Barry Moore,Republican,Alabama House of Representatives,Enterprise State Community College (AS)Auburn University (BS),2021,Enterprise,1966-09-26,55,Moore,/121792/barry-moore,1
2,Alabama 3,Mike Rogers,Republican,Calhoun County CommissionerAlabama House of Representatives,"Jacksonville State University (BA, MPA)Birmingham School of Law (JD)",2003,Anniston,1958-07-16,63,Rogers,/5705/mike-rogers,1
3,Alabama 4,Robert Aderholt,Republican,Haleyville Municipal Judge,University of North AlabamaBirmingham–Southern College (BA)Samford University (JD),1997,Haleyville,1965-07-22,56,Aderholt,/441/robert-aderholt,1
4,Alabama 5,Mo Brooks,Republican,Alabama House of RepresentativesMadison County Commissioner,Duke University (BA)University of Alabama (JD),2011,Huntsville,1954-04-29,67,Brooks,/121610/mo-brooks,1
5,Alabama 6,Gary Palmer,Republican,Policy analyst,University of Alabama (BS),2015,Hoover,1954-05-14,67,Palmer,/146274/gary-palmer,1
6,Alabama 7,Terri Sewell,Democratic,Attorney,"Princeton University (BA)St Hilda's College, Oxford (MA)Harvard University (JD)",2011,Birmingham,1965-01-01,56,Sewell,/121621/terri-sewell,0
7,Alaska at-large,Don Young,Republican,Ship captainMayor of Fort Yukon,"Yuba CollegeCalifornia State University, Chico (BA)",1973 (special),Fort Yukon,1933-06-09,88,Young,/26717/donald-young,1
8,Arizona 1,Tom O'Halleran,Democratic,Arizona Senate,Lewis UniversityDePaul University,2017,Sedona,1946-01-24,75,O'Halleran,/28499/tom-ohalleran,1
9,Arizona 2,Ann Kirkpatrick,Democratic,U.S. HouseArizona House of Representatives,"University of Arizona (BA, JD)",2019,Tucson,1950-03-24,71,Kirkpatrick,/28425/ann-kirkpatrick,0
10,Arizona 3,Raúl Grijalva,Democratic,Pima County Board of Supervisors,University of Arizona (BA),2003,Tucson,1948-02-19,73,Grijalva,/28253/raul-grijalva,1
11,Arizona 4,Paul Gosar,Republican,President of the Northern Arizona Dental Society,"Creighton University (BS, DDS)",2011,Prescott,1958-11-27,63,Gosar,/123491/paul-gosar,1
12,Arizona 5,Andy Biggs,Republican,Arizona Senate,"Brigham Young University (BA)University of Arizona (JD)Arizona State University, Phoenix (MA)",2017,Gilbert,1958-11-07,63,Biggs,/28088/andy-biggs,1
13,Arizona 6,David Schweikert,Republican,Arizona House of RepresentativesArizona Board of EducationArizona Board of EqualizationMaricopa County Treasurer,"Arizona State University, Tempe (BS, MBA)",2011,Fountain Hills,1962-03-03,59,Schweikert,/106387/david-schweikert,1
14,Arizona 7,Ruben Gallego,Democratic,Arizona House of Representatives,Harvard University (BA),2015,Phoenix,1979-11-20,42,Gallego,/123732/ruben-gallego,1
15,Arizona 8,Debbie Lesko,Republican,Arizona House of RepresentativesArizona SenatePresident Pro Tempore of Arizona Senate,University of Wisconsin–Madison (BA),2018 (special),Peoria,1958-11-14,63,Lesko,/106483/debbie-lesko,0
16,Arizona 9,Greg Stanton,Democratic,Mayor of Phoenix,Marquette University (BA)University of Michigan (JD),2019,Phoenix,1970-03-08,51,Stanton,/72030/greg-stanton,1
17,Arkansas 1,Rick Crawford,Republican,BroadcasterBusinessman,Arkansas State University (BS),2011,Jonesboro,1966-01-22,55,Crawford,/119208/rick-crawford,1
18,Arkansas 2,French Hill,Republican,Businessman,Vanderbilt University (BS),2015,Little Rock,1956-12-05,65,Hill,/146290/french-hill,1
19,Arkansas 3,Steve Womack,Republican,Mayor of Rogers,Arkansas Tech University (BA),2011,Rogers,1957-02-18,64,Womack,/71815/steve-womack,1
20,Arkansas 4,Bruce Westerman,Republican,Arkansas House of Representatives,University of Arkansas (BS)Yale University (MS),2015,Hot Springs,1967-11-18,54,Westerman,/119120/bruce-westerman,1
21,California 1,Doug LaMalfa,Republican,California State SenateCalifornia State Assembly,Butte CollegeCalifornia Polytechnic State University (BS),2013,Oroville,1960-07-02,61,LaMalfa,/29713/doug-lamalfa,1
22,California 2,Jared Huffman,Democratic,California State Assembly,"University of California, Santa Barbara (BA)Boston College (JD)",2013,San Rafael,1964-02-18,57,Huffman,/59849/jared-huffman,1
23,California 3,John Garamendi,Democratic,United States Deputy Secretary of the InteriorLieutenant Governor of CaliforniaCalifornia Insurance CommissionerCalifornia State SenateCalifornia State Assembly,"University of California, Berkeley (BA)Harvard University (MBA)",2009 (special),Walnut Grove,1945-01-24,76,Garamendi,/29664/john-garamendi,1
24,California 4,Tom McClintock,Republican,California SenateCalifornia State Assembly,"University of California, Los Angeles (BA)",2009,Elk Grove,1956-07-10,65,McClintock,/9715/tom-mcclintock,1
25,California 5,Mike Thompson,Democratic,California State Senate,"Napa Valley CollegeCalifornia State University, Chico (BA, MPA)",1999,St. Helena,1951-01-24,70,Thompson,/3564/mike-thompson,1
26,California 6,Doris Matsui,Democratic,Sacramento City Council,"University of California, Berkeley (BA)",2005 (special),Sacramento,1944-09-25,77,Matsui,/28593/doris-matsui,0
27,California 7,Ami Bera,Democratic,Chief Medical Officer of Sacramento County,"University of California, Irvine (BS, MD)",2013,Elk Grove,1965-03-02,56,Bera,/120030/ami-bera,1
28,California 8,Jay Obernolte,Republican,California State AssemblyVideo game developer,"California Institute of Technology (BS) University of California, Los Angeles (MS)",2021,Big Bear Lake,1970-08-18,51,Obernolte,/151831/jay-obernolte,1
29,California 9,Jerry McNerney,Democratic,Engineering executive,"United States Military AcademyUniversity of New Mexico (BS, MS, PhD)",2007,Stockton,1951-06-18,70,McNerney,/29474/jerry-mcnerney,1
30,California 10,Josh Harder,Democratic,Venture capitalistProfessor,"Stanford University (BA)Harvard University (MBA, MPP)",2019,Turlock,1986-08-01,35,Harder,/179326/josh-harder,1
31,California 11,Mark DeSaulnier,Democratic,California State SenateCalifornia State AssemblyContra Costa County Board of Supervisors,College of the Holy Cross (BA),2015,Concord,1952-03-31,69,DeSaulnier,/69477/mark-desaulnier,1
32,California 12,Nancy Pelosi,Democratic,California Democratic Party Chair,Trinity Washington University (BA),1987 (special),San Francisco,1940-03-26,81,Pelosi,/26732/nancy-pelosi,0
33,California 13,Barbara Lee,Democratic,California State Assembly,"Mills College (BA)University of California, Berkeley (MSW)",1998 (special),Oakland,1946-07-16,75,Lee,/8315/barbara-lee,0
34,California 14,Jackie Speier,Democratic,California State SenateCalifornia State AssemblySan Mateo County Board of Supervisors,"University of California, Davis (BA)University of California, Hastings (JD)",2008 (special),Hillsborough,1950-05-14,71,Speier,/8425/jackie-speier,0
35,California 15,Eric Swalwell,Democratic,Dublin City Council,"Campbell UniversityUniversity of Maryland, College Park (BA)University of Maryland, Baltimore (JD)",2013,Dublin,1980-11-16,41,Swalwell,/129529/eric-swalwell,1
36,California 16,Jim Costa,Democratic,California State SenateCalifornia State Assembly,"California State University, Fresno (BA)",2005,Fresno,1952-04-13,69,Costa,/3577/jim-costa,1
37,California 17,Ro Khanna,Democratic,AttorneyAuthorEducator,University of Chicago (BA)Yale University (JD),2017,Fremont,1976-09-13,45,Khanna,/29473/ro-khanna,1
38,California 18,Anna Eshoo,Democratic,San Mateo County Board of Supervisors,Cañada College,1993,Atherton,1942-12-13,79,Eshoo,/26741/anna-eshoo,0
39,California 19,Zoe Lofgren,Democratic,Santa Clara County Board of Supervisors,Stanford University (BA)Santa Clara University(JD),1995,San Jose,1947-12-21,74,Lofgren,/21899/zoe-lofgren,0
40,California 20,Jimmy Panetta,Democratic,Deputy district attorney of Monterey County,"Monterey Peninsula CollegeUniversity of California, Davis (BA)Santa Clara University(JD)",2017,Carmel Valley,1969-10-01,52,Panetta,/169078/jimmy-panetta,1
41,California 21,David Valadao,Republican,U.S. HouseCalifornia State AssemblyFarmer,College of the Sequoias,2021,Hanford,1977-04-14,44,Valadao,/120200/david-valadao,1
42,California 22,Devin Nunes,Republican,California State Director for the United States Department of Agriculture's Rural Development Section,"College of the Sequoias  California Polytechnic State University (BS, MS)",2003,Tulare,1973-10-01,48,Nunes,/16725/devin-nunes,1
43,California 23,Kevin McCarthy,Republican,California State Assembly,"California State University, Bakersfield (BS, MBA)",2007,Bakersfield,1965-01-26,56,McCarthy,/28918/kevin-mccarthy,1
44,California 24,Salud Carbajal,Democratic,Santa Barbara County Board of Supervisors,"University of California, Santa Barbara (BA)Fielding Graduate University (MA)",2017,Santa Barbara,1964-11-18,57,Carbajal,/81569/salud-carbajal,1
45,California 25,Mike Garcia,Republican,BusinessmanUnited States Navy,United States Naval Academy (BS)Georgetown University (MA),2020 (special),Santa Clarita,1976-04-24,45,Garcia,/188664/mike-garcia,1
46,California 26,Julia Brownley,Democratic,California State Assembly,George Washington University (BA)American University (MBA),2013,Westlake Village,1952-08-28,69,Brownley,/59904/julia-brownley,0
47,California 27,Judy Chu,Democratic,Mayor of Monterey ParkMonterey Park City CouncilCalifornia State AssemblyCalifornia State Board of Equalization,"University of California, Los Angeles (BA)Alliant International University (MA, PhD)",2009 (special),Monterey Park,1953-07-07,68,Chu,/16539/judy-chu,0
48,California 28,Adam Schiff,Democratic,California State SenateAssistant Prosecutor for theUnited States Attorney for the Southern District of California,Stanford University (BA)Harvard University (JD),2001,Burbank,1960-06-22,61,Schiff,/9489/adam-schiff,1
49,California 29,Tony Cárdenas,Democratic,Los Angeles City Council,"University of California, Santa Barbara (BS)",2013,Pacoima,1963-03-31,58,Cárdenas,/9754/tony-cardenas,1
50,California 30,Brad Sherman,Democratic,California Board of Equalization,"University of California, Los Angeles (BA)Harvard University (JD)",1997,Sherman Oaks,1954-10-24,67,Sherman,/142/brad-sherman,1
51,California 31,Pete Aguilar,Democratic,Mayor of Redlands,University of Redlands (BS),2015,Redlands,1979-06-19,42,Aguilar,/70114/pete-aguilar,1
52,California 32,Grace Napolitano,Democratic,California State Assembly,Cerritos CollegeTexas Southmost College,1999,Norwalk,1936-12-04,85,Napolitano,/8393/grace-napolitano,0
53,California 33,Ted Lieu,Democratic,California State SenateCalifornia State Assembly,"Stanford University (BA, BS)Georgetown University (JD)",2015,Torrance,1969-03-29,52,Lieu,/1516/ted-lieu,1
54,California 34,Jimmy Gomez,Democratic,California State Assembly,"University of California, Los Angeles (BA)Harvard University (MPP)",2017 (special),Los Angeles,1974-11-25,47,Gomez,/138524/jimmy-gomez,1
55,California 35,Norma Torres,Democratic,California State SenateCalifornia State AssemblyMayor of Pomona,National Labor College (BA),2015,Pomona,1965-04-04,56,Torres,/71284/norma-torres,0
56,California 36,Raul Ruiz,Democratic,Emergency physician,"University of California, Los Angeles (BS)Harvard University (MD, MPP, MPH)",2013,Coachella,1972-08-25,49,Ruiz,/136407/raul-ruiz,1
57,California 37,Karen Bass,Democratic,Speaker of the California State Assembly,"San Diego State UniversityCalifornia State University, Dominguez Hills (BS)",2011,Los Angeles,1953-10-03,68,Bass,/28963/karen-bass,0
58,California 38,Linda Sánchez,Democratic,Attorney,"University of California, Berkeley (BA)University of California, Los Angeles (JD)",2003,Whittier,1969-01-28,52,Sánchez,/29674/linda-sanchez,0
59,California 39,Young Kim,Republican,California State Assembly,University of Southern California (BBA),2021,La Habra,1962-10-18,59,Kim,/151787/young-kim,0
60,California 40,Lucille Roybal-Allard,Democratic,Public relations executive,"California State University, Los Angeles (BA)",1993,Downey,1941-06-12,80,Roybal-Allard,/26766/lucille-roybal-allard,0
61,California 41,Mark Takano,Democratic,Teacher,"Harvard University (BA)University of California, Riverside (MFA)",2013,Riverside,1960-12-10,61,Takano,/22337/mark-takano,1
62,California 42,Ken Calvert,Republican,Real estate executive,Chaffey CollegeSan Diego State University (BA),1993,Corona,1953-06-08,68,Calvert,/26777/ken-calvert,1
63,California 43,Maxine Waters,Democratic,California State Assembly,"California State University, Los Angeles (BA)",1991,Los Angeles,1938-08-15,83,Waters,/26759/maxine-waters,0
64,California 44,Nanette Barragán,Democratic,Hermosa Beach City Council,"University of California, Los Angeles (BA)University of Southern California (JD)",2017,San Pedro,1976-09-15,45,Barragán,/166270/nanette-barragan,0
65,California 45,Katie Porter,Democratic,AttorneyProfessor,Yale University (BA)Harvard University (JD),2019,Irvine,1974-01-03,47,Porter,/179393/katie-porter,0
66,California 46,Lou Correa,Democratic,California State SenateOrange County Board of SupervisorsCalifornia State Assembly,"California State University, Fullerton (BA)University of California, Los Angeles (JD, MBA)",2017,Santa Ana,1958-01-24,63,Correa,/9732/lou-correa,1
67,California 47,Alan Lowenthal,Democratic,California State SenateCalifornia State Assembly,"Hobart College (BA)Ohio State University (MA, PhD)",2013,Long Beach,1941-03-08,80,Lowenthal,/16469/alan-lowenthal,1
68,California 48,Michelle Steel,Republican,Orange County Board of SupervisorsCalifornia State Board of Equalization,Pepperdine University (BA)University of Southern California (MBA),2021,Surfside,1955-06-21,66,Steel,/157194/michelle-steel,0
69,California 49,Mike Levin,Democratic,Environmental activist,Stanford University (BA)Duke University (JD),2019,San Juan Capistrano,1978-10-20,43,Levin,/179416/mike-levin,1
70,California 50,Darrell Issa,Republican,BusinessmanU.S. House,Siena Heights University (BA),2021,San Diego,1953-11-01,68,Issa,/16553/darrell-issa,1
71,California 51,Juan Vargas,Democratic,California State SenateCalifornia State AssemblySan Diego City Council,University of San Diego (BA)Fordham University (MA)Harvard University (JD),2013,San Diego,1961-03-07,60,Vargas,/29100/juan-vargas,1
72,California 52,Scott Peters,Democratic,San Diego City CouncilSan Diego Port Commission,Duke University (BA)New York University (JD),2013,San Diego,1958-06-17,63,Peters,/70351/scott-peters,1
73,California 53,Sara Jacobs,Democratic,Nonprofit founderPolicy advisor,"Columbia University (BA, MIA)",2021,San Diego,1989-02-01,32,Jacobs,/179414/sara-jacobs,0
74,Colorado 1,Diana DeGette,Democratic,Colorado House of Representatives,Colorado College (BA)New York University (JD),1997,Denver,1957-07-29,64,DeGette,/561/diana-degette,0
75,Colorado 2,Joe Neguse,Democratic,Executive Director of the Colorado Department of Regulatory AgenciesRegents of the University of Colorado,"University of Colorado, Boulder (BA, JD)",2019,Lafayette,1984-05-13,37,Neguse,/151075/joe-neguse,1
76,Colorado 3,Lauren Boebert,Republican,BusinesswomanRestauranteur,–,2021,Silt,1986-12-15,35,Boebert,/191290/lauren-boebert,0
77,Colorado 4,Ken Buck,Republican,Weld County District Attorney,Princeton University (BA)University of Wyoming (JD),2015,Windsor,1959-02-16,62,Buck,/125319/ken-buck,1
78,Colorado 5,Doug Lamborn,Republican,President Pro Tempore of the Colorado SenateColorado House of Representatives,"University of Kansas (BS, JD)",2007,Colorado Springs,1954-05-24,67,Lamborn,/2698/doug-lamborn,1
79,Colorado 6,Jason Crow,Democratic,AttorneyU.S. Army Captain,"University of Wisconsin, Madison (BA)University of Denver (JD)",2019,Aurora,1979-03-15,42,Crow,/180218/jason-crow,1
80,Colorado 7,Ed Perlmutter,Democratic,Colorado Senate,"University of Colorado Boulder (BA, JD)",2007,Arvada,1953-05-01,68,Perlmutter,/2653/ed-perlmutter,1
81,Connecticut 1,John B. Larson,Democratic,Connecticut SenateEast Hartford City CouncilEast Hartford Board of Education,Central Connecticut State University (BA),1999,East Hartford,1948-07-22,73,Larson,/17188/john-larson,1
82,Connecticut 2,Joe Courtney,Democratic,Connecticut House of Representatives,Tufts University (BA)University of Connecticut (JD),2007,Vernon,1953-04-06,68,Courtney,/30333/joe-courtney,1
83,Connecticut 3,Rosa DeLauro,Democratic,Executive Director of EMILY's ListPolitical aide,"Marymount College, Tarrytown (BA)London School of Economics(MA)Columbia University (MA)",1991,New Haven,1943-03-02,78,DeLauro,/26788/rosa-delauro,0
84,Connecticut 4,Jim Himes,Democratic,Financial executiveGreenwich Housing Authority Board,"Harvard University (BA)St Edmund Hall, Oxford (MPhil)",2009,Cos Cob,1966-07-05,55,Himes,/106744/jim-himes,1
85,Connecticut 5,Jahana Hayes,Democratic,Teacher,Naugatuck Valley Community CollegeSouthern Connecticut State University (BA)University of Saint Joseph (MA)University of Bridgeport (SYC),2019,Wolcott,1973-03-08,48,Hayes,/181744/jahana-hayes,0
86,Delaware at-large,Lisa Blunt Rochester,Democratic,Delaware Health and Social Services SecretaryDelaware Labor SecretaryDelaware Personnel Director,Fairleigh Dickinson University(BA)University of Delaware (MA),2017,Wilmington,1962-02-10,59,Rochester,/173249/lisa-blunt-rochester,1
87,Florida 1,Matt Gaetz,Republican,Florida House of Representatives,Florida State University (BS)College of William & Mary (JD),2017,Fort Walton Beach,1982-05-07,39,Gaetz,/117101/matt-gaetz,1
88,Florida 2,Neal Dunn,Republican,Surgeon,Washington and Lee University (BS)George Washington University (MD),2017,Panama City,1953-02-16,68,Dunn,/166297/neal-dunn,1
89,Florida 3,Kat Cammack,Republican,Political advisor,Metropolitan State University of Denver (BA)Naval War College (MS),2021,Gainesville,1988-02-16,33,Cammack,/191306/kat-cammack,0
90,Florida 4,John Rutherford,Republican,Sheriff of Duval County,Florida State CollegeFlorida State University (BS),2017,Jacksonville,1952-09-02,69,Rutherford,/172542/john-rutherford,1
91,Florida 5,Al Lawson,Democratic,Florida Senate,Florida A&M University (BA)Florida State University (MPA),2017,Tallahassee,1948-09-23,73,Lawson,/24263/al-lawson-jr,1
92,Florida 6,Michael Waltz,Republican,U.S. ArmyIntelligence analyst,Virginia Military Institute (BS),2019,St. Augustine Beach,1974-01-31,47,Waltz,/182261/michael-waltz,1
93,Florida 7,Stephanie Murphy,Democratic,AdvisorEducator,College of William & Mary (BA)Georgetown University (MS),2017,Winter Park,1978-09-16,43,Murphy,/173426/stephanie-murphy,0
94,Florida 8,Bill Posey,Republican,Florida SenateFlorida House of RepresentativesRockledge City Council,Eastern Florida State College,2009,Rockledge,1947-12-18,74,Posey,/24280/bill-posey,1
95,Florida 9,Darren Soto,Democratic,Florida SenateFlorida House of Representatives,Rutgers University–New Brunswick (BA)George Washington University (JD),2017,Kissimmee,1978-02-25,43,Soto,/67618/darren-soto,1
96,Florida 10,Val Demings,Democratic,Chief of the Orlando Police Department,Florida State University (BS),2017,Orlando,1957-03-12,64,Demings,/137637/val-demings,0
97,Florida 11,Daniel Webster,Republican,Florida SenateSpeaker of Florida House of Representatives,Georgia Institute of Technology (BS),2011,Clermont,1949-04-27,72,Webster,/24302/daniel-webster,1
98,Florida 12,Gus Bilirakis,Republican,Florida House of Representatives,St. Petersburg CollegeUniversity of Florida (BA)Stetson University (JD),2007,Palm Harbor,1963-02-08,58,Bilirakis,/17318/gus-bilirakis,1
99,Florida 13,Charlie Crist,Democratic,Governor of FloridaAttorney General of FloridaEducation Commissioner of FloridaFlorida Senate,Wake Forest UniversityFlorida State University (BA)Samford University (JD),2017,St. Petersburg,1956-07-24,65,Crist,/24311/charlie-crist-jr,1
100,Florida 14,Kathy Castor,Democratic,Assistant General Counsel to the Florida Department of Community AffairsPresident of the Florida Association of Women LawyersHillsborough County Board of Commissioners,Emory University (BA)Florida State University (JD),2007,Tampa,1966-08-20,55,Castor,/53825/kathy-castor,0
101,Florida 15,Scott Franklin,Republican,Lakeland City Commission,United States Naval Academy (BA)Embry–Riddle Aeronautical University (MBA),2021,Lakeland,1964-08-23,57,Franklin,/191355/scott-franklin,1
102,Florida 16,Vern Buchanan,Republican,Auto dealer,Cleary University (BA)University of Detroit Mercy (MBA),2007,Sarasota,1951-05-08,70,Buchanan,/66247/vern-buchanan,1
103,Florida 17,Greg Steube,Republican,Florida SenateFlorida House of Representatives,"University of Florida (BS, JD)",2019,Sarasota,1978-05-19,43,Steube,/117248/greg-steube,1
104,Florida 18,Brian Mast,Republican,U.S. Army Soldier,Palm Beach Atlantic UniversityAmerican Military UniversityHarvard University (BLA),2017,Palm City,1980-07-10,41,Mast,/166245/brian-mast,1
105,Florida 19,Byron Donalds,Republican,Florida House of Representatives,Florida State University (BS),2021,Naples,1978-10-26,43,Donalds,/137655/byron-donalds,1
106,Florida 20,Alcee Hastings,Democratic,Judge of the United States District Court for the Southern District of Florida,Howard UniversityFisk University (BA)Florida A&M University (JD),1993,Delray Beach,1936-09-05,85,Hastings,/26798/alcee-hastings-sr,1
107,Florida 21,Lois Frankel,Democratic,Mayor of West Palm BeachFlorida House of Representatives,Boston University (BA)Georgetown University (JD),2013,West Palm Beach,1948-05-16,73,Frankel,/8102/lois-frankel,0
108,Florida 22,Ted Deutch,Democratic,Florida Senate,"University of Michigan (BA, JD)",2010 (special),Boca Raton,1966-05-07,55,Deutch,/67151/ted-deutch,1
109,Florida 23,Debbie Wasserman Schultz,Democratic,Florida SenateFlorida House of RepresentativesDemocratic National Committee Chair,"University of Florida (BA, MA)",2005,Weston,1966-09-27,55,Schultz,/24301/debbie-wasserman-schultz,1
110,Florida 24,Frederica Wilson,Democratic,Florida SenateFlorida House of RepresentativesMiami-Dade County Public Schools Board,Fisk University (BA)University of Miami (MA),2011,Miami Gardens,1942-11-05,79,Wilson,/17319/frederica-wilson,0
111,Florida 25,Mario Díaz-Balart,Republican,Florida SenateFlorida House of Representatives,University of South Florida (BA),2003,Miami,1961-09-25,60,Díaz-Balart,/24312/mario-diaz-balart,1
112,Florida 26,Carlos Giménez,Republican,Mayor of Miami-Dade CountyMiami-Dade County Commission,Barry University (BPA),2021,Miami,1954-01-17,67,Giménez,/81366/carlos-gimenez,1
113,Florida 27,Maria Elvira Salazar,Republican,News anchor  Journalist,Miami Dade CollegeUniversity of Miami (BA)Harvard University (MPA),2021,Miami,1961-11-01,60,Salazar,/182300/maria-salazar,0
114,Georgia 1,Buddy Carter,Republican,Georgia SenateGeorgia House of RepresentativesMayor of Pooler,Young Harris CollegeUniversity of Georgia (BS),2015,Pooler,1957-09-06,64,Carter,/32085/buddy-carter,1
115,Georgia 2,Sanford Bishop,Democratic,Georgia SenateGeorgia House of Representatives,Morehouse College (BA)Emory University (JD),1993,Albany,1947-02-04,74,Bishop,/26817/sanford-bishop-jr,1
116,Georgia 3,Drew Ferguson,Republican,Mayor of West Point,University of Georgia (BS)Augusta University (DMD),2017,West Point,1966-11-15,55,Ferguson,/168132/drew-ferguson,1
117,Georgia 4,Hank Johnson,Democratic,DeKalb County CommissionerAssociate Magistrate Judge,Clark Atlanta University (BA)Texas Southern University (JD),2007,Lithonia,1954-10-02,67,Johnson,/68070/hank-johnson-jr,1
118,Georgia 5,Nikema Williams,Democratic,Georgia Senate Chair of the Georgia Democratic Party,Talladega College (BA),2021,Atlanta,1978-07-30,43,Williams,/176751/nikema-williams,0
119,Georgia 6,Lucy McBath,Democratic,Activist,Virginia State University (BA),2019,Marietta,1960-06-01,61,McBath,/178538/lucy-mcbath,0
120,Georgia 7,Carolyn Bourdeaux,Democratic,Professor,Yale University (BA)University of Southern California (MPA)Syracuse University (DPA),2021,Suwanee,1970-06-03,51,Bourdeaux,/178540/carolyn-bourdeaux,0
121,Georgia 8,Austin Scott,Republican,Georgia House of Representatives,University of Georgia (BA),2011,Tifton,1969-12-10,52,Scott,/11812/austin-scott,1
122,Georgia 9,Andrew Clyde,Republican,U.S. Navy Commander,University of Notre Dame (BA)Bethel University (BBA)University of Georgia (MBA),2021,Athens,1963-11-22,58,Clyde,/189770/andrew-clyde,1
123,Georgia 10,Jody Hice,Republican,Radio show hostSouthern Baptist pastor,Asbury University (BA)Southwestern Baptist Theological Seminary (MDiv)Luther Rice College and Seminary (DMin),2015,Greensboro,1960-04-22,61,Hice,/122246/jody-hice,1
124,Georgia 11,Barry Loudermilk,Republican,Georgia State SenateGeorgia House of Representatives,Air UniversityWayland Baptist University (BS),2015,Cassville,1963-12-22,58,Loudermilk,/31618/barry-loudermilk,1
125,Georgia 12,Rick W. Allen,Republican,Businessman,Auburn University (BS),2015,Augusta,1951-11-07,70,Allen,/136062/rick-allen,1
126,Georgia 13,David Scott,Democratic,Georgia State SenateGeorgia House of Representatives,Florida A&M University (BA)University of Pennsylvania (MBA),2003,Atlanta,1945-06-27,76,Scott,/7826/david-scott,1
127,Georgia 14,Marjorie Taylor Greene,Republican,Businesswoman  Activist,University of Georgia (BBA),2021,Rome,1974-08-27,47,Greene,/189785/marjorie-taylor-greene,0
128,Hawaii 1,Ed Case,Democratic,U.S. HouseHawaii House of Representatives,"Williams College (BA)University of California, Hastings (JD)",2019,Kaneohe,1952-09-27,69,Case,/3422/edward-case,1
129,Hawaii 2,Kai Kahele,Democratic,Hawaii Senate,University of Hawai'i at Mānoa (BA),2021,Hilo,1974-03-28,47,Kahele,/167669/kaialii-kahele,1
130,Idaho 1,Russ Fulcher,Republican,Idaho Senate,"Boise State University (BA, MBA)",2019,Meridian,1962-03-09,59,Fulcher,/33091/russ-fulcher,1
131,Idaho 2,Mike Simpson,Republican,Idaho House of RepresentativesBlackfoot City Council,Utah State University (BS)Washington University in St. Louis (DMD),1999,Idaho Falls,1950-09-08,71,Simpson,/2917/mike-simpson,1
132,Illinois 1,Bobby Rush,Democratic,Chicago City Council,Roosevelt University (BGS)University of Illinois at Chicago (MA)McCormick Theological Seminary (MA),1993,Chicago,1946-11-23,75,Rush,/26831/bobby-rush,1
133,Illinois 2,Robin Kelly,Democratic,Illinois House of RepresentativesChief of Staff to the Illinois TreasurerChief Administrative Officer to the Cook County President,"Bradley University (BA, MA)Northern Illinois University (PhD)",2013 (special),Matteson,1956-04-30,65,Kelly,/33384/robin-kelly,0
134,Illinois 3,Marie Newman,Democratic,Businesswoman  Activist,University of Wisconsin–Madison (BA),2021,La Grange,1964-04-13,57,Newman,/177075/marie-newman,0
135,Illinois 4,"Jesús ""Chuy"" García",Democratic,Cook County Board of CommissionersIllinois SenateChicago City Council,"University of Illinois, Chicago (BA, MUP)",2019,Chicago,1956-04-12,65,García,/6261/jesus-garcia,1
136,Illinois 5,Mike Quigley,Democratic,Cook County Board of Commissioners,Roosevelt University (BA)University of Chicago (MPP)Loyola University Chicago (JD),2009 (special),Chicago,1958-10-17,63,Quigley,/83310/mike-quigley,1
137,Illinois 6,Sean Casten,Democratic,Entrepreneur,"Middlebury College (BA)Dartmouth College (MSEM, MS)",2019,Downers Grove,1971-11-23,50,Casten,/176982/sean-casten,1
138,Illinois 7,Danny K. Davis,Democratic,Chicago City CouncilCook County Board of Commissioners,University of Arkansas at Pine Bluff (BA)Chicago State University (MS)Union Institute & University (PhD),1997,Chicago,1941-09-06,80,Davis,/233/danny-davis,1
139,Illinois 8,Raja Krishnamoorthi,Democratic,Public servantAttorney,Princeton University (BS)Harvard University (JD),2017,Schaumburg,1973-07-19,48,Krishnamoorthi,/117519/raja-krishnamoorthi,1
140,Illinois 9,Jan Schakowsky,Democratic,Illinois House of Representatives,University of Illinois at Urbana–Champaign (BS),1999,Evanston,1944-05-26,77,Schakowsky,/6387/jan-schakowsky,0
141,Illinois 10,Brad Schneider,Democratic,U.S. HouseManagement consultant,"Northwestern University (BS, MBA)",2017,Deerfield,1961-08-20,60,Schneider,/134948/brad-schneider,1
142,Illinois 11,Bill Foster,Democratic,U.S. HouseResearch physicistBusinessman,"University of Wisconsin–Madison (BS)Harvard University (MS, PhD)",2013,Naperville,1955-10-07,66,Foster,/101632/bill-foster,1
143,Illinois 12,Mike Bost,Republican,Illinois House of RepresentativesFirefighter,–,2015,Murphysboro,1960-12-30,61,Bost,/6302/mike-bost,1
144,Illinois 13,Rodney Davis,Republican,Congressional staffer,Millikin University (BA),2013,Taylorville,1970-01-05,51,Davis,/9622/rodney-davis,1
145,Illinois 14,Lauren Underwood,Democratic,Registered nurse,"University of Michigan (BSN)Johns Hopkins University (MSN, MPH)",2019,Naperville,1986-10-04,35,Underwood,/177001/lauren-underwood,0
146,Illinois 15,Mary Miller,Republican,Farmer,"Eastern Illinois University (BA, BS)",2021,Oakland,1959-08-27,62,Miller,/187988/mary-miller,0
