,District,Member,Party,Prior experience,Education,Assumed office,Residence,Born,Age,Surname,link,gender
303,Ohio 9,Marcy Kaptur,Democratic,"Domestic Policy Advisor, Carter Adm.",University of Wisconsin–Madison (BA)University of Michigan (MUP)Massachusetts Institute of Technology,1983,Toledo,1946-06-17,75,Kaptur,/27016/marcia-kaptur,0
304,Ohio 10,Mike Turner,Republican,Mayor of Dayton,Ohio Northern University (BA)Case Western Reserve University (JD)University of Dayton (MBA),2003,Dayton,1960-01-11,61,Turner,/45519/mike-turner,1
305,Ohio 12,Troy Balderson,Republican,Ohio Senate,Muskingum UniversityOhio State University,2018 (special),Zanesville,1962-01-16,59,Balderson,/102781/troy-balderson,1
306,Ohio 13,Tim Ryan,Democratic,Ohio Senate,"Youngstown State UniversityBowling Green State University (BA)University of New Hampshire, Concord (JD)",2003,Warren,1973-07-16,48,Ryan,/45638/tim-ryan,1
307,Ohio 14,David Joyce,Republican,Geauga County Prosecutor,"University of Dayton (BS, JD)",2013,Russell Township,1957-03-17,64,Joyce,/143052/dave-joyce,1
308,Ohio 15,Steve Stivers,Republican,Ohio Senate,"Ohio State University (BA, MBA)United States Army War College (MA)",2011,Columbus,1965-03-24,56,Stivers,/45333/steve-stivers,1
309,Ohio 16,Anthony Gonzalez,Republican,Football player,Ohio State University (BA)Stanford University (MBA),2019,Rocky River,1984-09-18,37,Gonzalez,/178867/anthony-gonzalez,1
310,Oklahoma 1,Kevin Hern,Republican,Businessman,"Arkansas Tech University (BS)Georgia Institute of TechnologyUniversity of Arkansas, Little Rock (MBA)",2018 (special),Tulsa,1961-12-04,60,Hern,/180004/kevin-hern,1
311,Oklahoma 2,Markwayne Mullin,Republican,Businessman,"Missouri Valley CollegeOklahoma State University, Okmulgee",2013,Westville,1977-07-26,44,Mullin,/135898/markwayne-mullin,1
312,Oklahoma 3,Frank Lucas,Republican,Oklahoma House of Representatives,Oklahoma State University–Stillwater (BS),1994 (special),Cheyenne,1960-01-06,61,Lucas,/27032/frank-lucas,1
313,Oklahoma 4,Tom Cole,Republican,Oklahoma SenateOklahoma Secretary of StateCollege professor,Grinnell College (BA)Yale University (MA)University of Oklahoma (PhD),2003,Moore,1949-04-28,72,Cole,/46034/tom-cole,1
314,Oklahoma 5,Stephanie Bice,Republican,Oklahoma Senate,"Oklahoma State University, Stillwater (BS)",2021,Oklahoma City,1973-11-11,48,Bice,/152294/stephanie-bice,0
315,Oregon 1,Suzanne Bonamici,Democratic,Oregon House of RepresentativesOregon State Senate,"Lane Community CollegeUniversity of Oregon (BA, JD)",2012 (special),Beaverton,1954-10-14,67,Bonamici,/59641/suzanne-bonamici,0
316,Oregon 2,Cliff Bentz,Republican,Oregon State Senate,Eastern Oregon University (BA)Lewis and Clark College (JD),2021,Ontario,1952-01-12,69,Bentz,/102400/cliff-bentz,1
317,Oregon 3,Earl Blumenauer,Democratic,Oregon House of Representatives  Multnomah County Commissioner  Portland City Commissioner,"Lewis & Clark College (BA, JD)",1996 (special),Portland,1948-08-16,73,Blumenauer,/367/earl-blumenauer,1
318,Oregon 4,Peter DeFazio,Democratic,Lane County Commissioner,Tufts University (BA)University of Oregon (MA),1987,Springfield,1947-05-27,74,DeFazio,/27037/peter-defazio,1
319,Oregon 5,Kurt Schrader,Democratic,VeterinarianOregon State Senate,"Cornell University (BA)University of Illinois at Urbana–Champaign (BS, DVM)",2009,Canby,1951-10-19,70,Schrader,/10813/kurt-schrader,1
320,Pennsylvania 1,Brian Fitzpatrick,Republican,FBI agentSpecial Assistant U.S. Attorney,"La Salle University (BS)Pennsylvania State University (MBA)Pennsylvania State University, Carlisle (JD)",2017,Levittown,1973-12-17,48,Fitzpatrick,/167708/brian-fitzpatrick,1
321,Pennsylvania 2,Brendan Boyle,Democratic,Pennsylvania House of Representatives,University of Notre Dame (BA)Harvard University (MPP),2015,Philadelphia,1977-02-06,44,Boyle,/47357/brendan-boyle,1
322,Pennsylvania 3,Dwight Evans,Democratic,Pennsylvania House of Representatives,Community College of Philadelphia (AA)La Salle University (BA),2016 (special),Philadelphia,1954-05-16,67,Evans,/9128/dwight-evans,1
323,Pennsylvania 4,Madeleine Dean,Democratic,Pennsylvania House of Representatives,La Salle University (BA)Widener University (JD),2019,Jenkintown,1959-06-06,62,Dean,/136484/madeleine-dean,0
