person,age,gender,sents,wordcount,noun,verb,adj,adv,intj,pron,wh,conj,prep,short sent,long sent,short word,long word,frag,# diff,% func words,selfish,# unique,% unique no func,% joy,% surprise,% anticipation,% anger,% fear,% trust,% disgust,% sadness,loc fear,glb fear,loc joy,glb joy,loc trust,glb trust,loc surprise,glb surprise,loc disgust,glb disgust,loc anticipation,glb anticipation,loc anger,glb anger,loc sadness,glb sadness,loc valence,glb valence,loc arousal,glb arousal,loc dominance,glb dominance,loc humor,glb humor,loc humor M,glb humor M,loc humor F,glb humor F,loc humor young,glb humor young,loc humor old,glb humor old,% humor,% VAD,short/long,words/sent,conj/sent,verb/noun,noun/pron,% diff w/func,% unique w/func,misc words,% frag,party
Lisa Blunt Rochester,59.0,1.0,17.0,347.3333333333333,30.008952388136546,15.864518992994578,5.91194411199434,5.398128548668498,0.0,5.315915503193514,1.8544199714149128,3.7285237487942613,14.007574342845034,2.3333333333333335,14.666666666666666,244.33333333333334,103.0,2.0,175.66666666666666,49.850085149936085,0.5773809523809523,120.33333333333333,28.987289089341605,2.5487647950668246,0.3775475969031754,1.4246157635677186,0.909893955416258,0.5147218081514607,5.559377747200244,0.44677173446809954,0.8357859063053422,0.3558333333333333,0.0034294933047943027,0.41956,0.010714915465861459,0.5321961670973298,0.029447102991077306,0.16416666666666666,0.0008026326406672697,0.2732777777777778,0.0015691646812504513,0.31652910052910055,0.006760758407759898,0.2969880952380952,0.004321104443510131,0.34450000000000003,0.002741747251207176,0.6292582687338503,0.2048629765529777,0.44028045865633075,0.14325541583321655,0.591961111111111,0.19267340434116034,2.15880909098532,0.30485561907238173,2.148828993790458,0.30313567401508285,2.170728850788939,0.30690147721117395,2.0747780391380597,0.29242877357631436,2.240368281884897,0.31694614265462046,14.135314077981201,32.525364488442115,0.3392687559354226,20.038690476190478,0.32001580632872567,0.542972976413233,6.167508417508418,57.225428616324145,40.909129517087315,265.2433557252917,16.96428571428571,-1
Lisa McClain,55.0,0.0,8.25,135.125,40.178358603665174,13.653860059110231,4.664504521513077,2.237287961559971,0.0423728813559322,6.371435243315986,0.24961973055193393,3.9840606544897463,13.828215324311074,1.75,6.5,105.25,29.875,1.125,86.875,45.16894696847512,0.37278138528138527,66.5,40.124784760005326,4.758857985158267,1.3612505445568517,2.880077379822043,0.8317223048788048,1.7232181943033722,6.692031976208492,0.29088013762320997,1.0204685316852882,0.23033854166666667,0.003950368613586835,0.3606778273809524,0.01884523027168267,0.5375583333333334,0.036584489008149756,0.167875,0.003713271201413428,0.07908333333333334,0.0010869095220383113,0.34281875,0.013004792201139133,0.14146875000000003,0.0023845938720476103,0.22142857142857142,0.003867726498905595,0.657428677669002,0.2444545045332296,0.44604430063574313,0.16480043392448085,0.5760918985025252,0.21418349504194417,2.136536033965455,0.34629518024339484,2.1057681681709535,0.3416672832305831,2.147810985507279,0.3478412864418119,2.1537610309756063,0.3491209042742682,2.116367297682774,0.34302396211315134,16.22473981222236,37.05412135878538,0.24375,17.568641774891773,0.5717159247725327,0.4138615721255267,8.376076007326008,66.02035428008132,50.926086373363404,49.91528502012687,15.987554112554111,1
Liz Cheney,55.0,0.0,13.538461538461538,270.46153846153845,36.74352018707622,14.425373119612695,4.900389549288081,2.586369877326307,0.0,6.694774685005314,0.9498665640162641,3.2685151814600735,15.479769460496708,2.8076923076923075,10.73076923076923,195.96153846153845,74.5,3.230769230769231,138.53846153846155,45.36547974194962,0.4402178427735107,95.61538461538461,31.06228517133072,2.599050533351444,0.7357683902863241,2.258639666995395,1.030472142111009,1.9088472906618414,6.403272238456074,0.5963539819256655,1.0111387414632156,0.32057462078519766,0.009042259820397943,0.42324832227224757,0.01134153323708821,0.5407013468645137,0.03497217169341324,0.20507167832167833,0.0025580992080102304,0.28580779092702174,0.0026892415741733722,0.47440818817934194,0.011335380686849058,0.3173386500754148,0.0053930509734685435,0.3611043145956608,0.005447189451846222,0.6108001630712155,0.21367053011531334,0.4597890388799867,0.1618409827169583,0.6168597955829476,0.21603988818914294,2.15851294996569,0.2747524014195654,2.207516860261268,0.28030131395760605,2.1221710933483786,0.2706677969848309,2.1627918238325843,0.27614438099639005,2.146107994973659,0.2723341565740385,12.745088925457285,35.01785716442141,0.5646804860769494,19.165633886749774,0.29144458224549347,0.43438138111672064,19.174844261033606,56.15336133290546,39.852071866111274,185.4129598372568,21.22922286889898,1
Lizzie Pannill Fletcher,46.0,1.0,14.580645161290322,368.9032258064516,32.19579097732517,14.283570138242261,5.749497224083826,3.017015178441328,0.02312406058503873,7.9512470220949965,1.1276843513589907,4.071442995502063,15.407407953714216,2.6774193548387095,11.903225806451612,264.0,104.90322580645162,2.4193548387096775,161.96774193548387,48.882286667554055,0.6396339887075844,108.3225806451613,31.886778821273943,2.8898006085242964,0.837786018573084,2.070167854488148,1.0569395240604333,1.5828839716416725,4.223107287028467,0.5164188602274388,1.0535273279819546,0.34081606943801346,0.007857554262858796,0.36822900963847044,0.011664171564079685,0.5331128146237233,0.02348932833629008,0.2876587750958719,0.003435954511374199,0.20826350486431128,0.001945280439673291,0.4515246876488097,0.010540555617236862,0.3030625538873198,0.004864289194806746,0.2912915813900498,0.0050265901356916195,0.6250231251211246,0.22127299858933655,0.45587904525006684,0.1614851029540499,0.5972566476419247,0.21163457052129336,2.1420670345942394,0.2887985696950482,2.1539886070762555,0.290789542335888,2.1339935387544364,0.2875750615089444,2.125279234999913,0.2861922987087599,2.1559059092978092,0.29110953937110035,13.50145086110903,35.34939850963048,0.3872338324658327,21.68969422472412,0.45362791705150435,0.4615493496718419,14.254300465256769,57.995752211706055,42.7797709259827,285.0764459051037,19.609563562099176,-1
Lloyd Doggett,75.0,1.0,12.78125,250.71875,31.55014999326688,16.352039651845164,7.720462313886298,4.91271212723311,0.0,6.09557199589218,1.7529615053415164,3.233118789264172,14.851365607769404,1.875,10.90625,177.3125,73.40625,1.28125,148.5,47.49595132101487,0.1532373288311036,110.96875,37.06740155560347,3.05625614064285,1.349356662007348,2.4114941422422964,1.9173749449167001,2.9270862168561553,5.09784051317616,1.2434860357070145,2.1689359921576576,0.4705118232678846,0.01531584382438464,0.4422539859932058,0.013482156996153849,0.5442737132843427,0.028169212019903,0.36010933779761917,0.005796587945011273,0.3657618696152703,0.006021679714708393,0.47336141124044084,0.012327135898885734,0.4431379619461421,0.009765852520060255,0.4744417119565218,0.012136641822401038,0.6019876441027864,0.2129022882454549,0.4826989619777322,0.17132993742307875,0.5999434254063704,0.21253428711560907,2.147888475026812,0.28113017839305243,2.1520786536213006,0.28166323312922387,2.1453994749262235,0.28071001780307214,2.122628926633869,0.27719977761297004,2.177208047593647,0.2857475740463285,13.091010737880271,35.429609219720916,0.24527337195076163,18.90214409000801,0.31882892664855805,0.5316337021226126,5.855943464945222,64.46619205414903,49.49979755692493,164.2503680155013,12.787833922448138,-1
Lloyd Smucker,57.0,1.0,14.5,298.25,31.705889735639385,16.866156213815774,6.811511116616081,4.0889291741336375,0.005668934240362813,5.876240786317232,1.7087266991890118,3.3303549932672962,15.808653828963665,2.0833333333333335,12.416666666666666,212.25,86.0,1.5,166.5,46.82209660731707,0.423985992537236,119.16666666666667,33.383157406387284,3.135026051280754,0.8940189507151564,2.547997496779821,1.0989061408981415,1.3530571609845454,5.350630604438358,0.778645223792274,1.138788742283251,0.2807260251322751,0.005201694202048136,0.41472977335164835,0.014033581925357275,0.5034932916021219,0.02791785641568381,0.32018078703703706,0.0035250801332447515,0.2563251488095238,0.0030351943499023824,0.49449773478835973,0.013016803902643828,0.32459600468975475,0.004780898799721514,0.34511247444684945,0.005370505681696707,0.6407108536902256,0.22704381753806144,0.45485775566070075,0.1613062148243996,0.6026768053970526,0.21382953402683738,2.128637652317476,0.27768267826137943,2.133486558529347,0.2783049382692699,2.1298170709048647,0.2777577393506981,2.1183908593410385,0.27617239683928746,2.1429778264553128,0.279667777095906,13.00570730841848,35.42164868063663,inf,20.596378602553937,0.2639135299327778,0.5717256200246262,inf,58.72732397331817,42.871095018451804,212.04786851781753,15.07661292613002,1
Lois Frankel,73.0,0.0,11.289473684210526,191.60526315789474,29.99235905704711,16.6884447118492,6.104227920038723,5.010408172920701,0.0,7.922818907577,1.7484980270755,3.868029724797821,14.67989842118786,2.4210526315789473,8.868421052631579,141.3684210526316,50.23684210526316,1.605263157894737,115.44736842105263,49.084328938700175,0.363485543521424,86.36842105263158,37.535102509248695,2.9470988447995508,1.1415516548785032,2.7859440349576303,2.1662465588750535,3.2268078433877023,5.3684278123933735,1.2834825742920548,2.0700151301080867,0.394379692893237,0.016747925476325934,0.3518089149577723,0.012800833451126736,0.5139903395856854,0.02874460319353922,0.26002337719298246,0.0041132377412006,0.3742841051492367,0.007133185191483053,0.4459837863991098,0.013612740033159213,0.39342853687748075,0.011256482545065788,0.38084866427432224,0.011071263746789928,0.6016222149554814,0.20115449036889396,0.4708248491636851,0.15725404045779215,0.5870571303887968,0.19544003494719875,2.102338946171978,0.28628523002667716,2.132943778252889,0.28991801094101444,2.083175047693032,0.2840921056029697,2.07602131583468,0.28233260338232635,2.1300548880465384,0.29059736582117435,13.26743232006204,33.32669620631467,0.4054094243819476,17.66561320276449,0.6671249188365457,0.6116302738281327,6.186621073259763,68.77124664972199,54.22933457110888,105.59057821540081,20.854242560283016,-1
Lori Trahan,48.0,0.0,17.071428571428573,349.67857142857144,33.03300628330611,14.686110642592642,6.6221558779972876,3.7153638005601564,0.015664160401002505,6.341213925936154,1.2735655883323662,3.5105834115366217,15.014548420512336,2.357142857142857,14.714285714285714,249.07142857142858,100.60714285714286,2.392857142857143,193.21428571428572,45.87390104714503,0.3491327631696689,143.89285714285714,36.04727355210057,3.6520052584092393,0.8306333600385228,2.580269427366879,1.5074780230380609,2.3118716346170425,5.737165873329772,0.7426458800306206,1.6568532227963206,0.37312746396362895,0.009910425275754356,0.4505495602353257,0.016126964717726202,0.5405226886250697,0.03111418616272563,0.31245000000000006,0.0030801493495247996,0.3813238095238095,0.0032609007230889548,0.48893776825473784,0.01314895829596549,0.3741157738095237,0.007271246931738707,0.4198918083900227,0.007061836968215566,0.6247342226986542,0.22228098775551017,0.47042465269644296,0.1676609583965378,0.5971780065704785,0.21282196305792483,2.1497808156420204,0.3268927822811106,2.1641099805626545,0.3289087618278801,2.1392574948093093,0.3254373497811773,2.1404095934270866,0.32557013028860293,2.1558245767143585,0.32769237872430257,15.225927522889767,35.52473054421228,0.2668307019017194,20.423185819234906,0.25323456620313173,0.4750724785612666,8.190720058703535,60.16045282805198,45.839639438115945,265.4663593173968,16.02178484490695,-1
Lou Correa,63.0,1.0,13.344827586206897,242.31034482758622,36.895061446065505,15.0121003727707,6.164920787109283,2.3118916532732934,0.0,6.802470739769877,1.396694757792846,3.035525266093476,14.89386377556823,2.7586206896551726,10.586206896551724,171.0344827586207,71.27586206896552,1.7586206896551724,134.06896551724137,44.12982730567093,0.4152387742586618,97.10344827586206,34.0990356069356,3.560515289799537,0.7715746693675316,2.780436573320509,0.6683343128291838,1.4967783581676213,5.842147395612714,0.4750136496232082,0.9774782249033186,0.3903723368585437,0.0071255243452563385,0.46000150617623126,0.01686909565463027,0.535800783583669,0.032165143559880406,0.24939326765188838,0.0027937721946185066,0.23053735632183905,0.0016602040864581646,0.48086662933077734,0.013674600986681022,0.21339367816091956,0.002546724334853611,0.3172798850574712,0.004276348621569386,0.6456037065976286,0.22836232737539586,0.4538313557310399,0.16047377495968124,0.6076625304549538,0.21493271597407218,2.1396889996705655,0.2921851214113118,2.158184539592141,0.294547476606324,2.1208573252262695,0.28965890735828376,2.1431641735316616,0.29236722064202936,2.140317082291821,0.2925373001667324,13.654757742252151,35.3662865778071,0.4093620466665465,17.986022308758088,0.2675977047567539,0.4309038290270326,7.323987643429039,60.29135217507627,44.55963588210795,155.79781602914298,15.921185522254621,-1
Louie Gohmert,68.0,1.0,59.25,1271.59375,26.34730429989471,19.42160110775802,4.142010778383377,5.4854260731244535,0.1129025174693342,8.041832033065361,1.7924749887419837,2.9756830725572523,14.411521093904176,9.03125,50.21875,983.6875,287.90625,2.40625,402.1875,54.082687234832015,0.3035500457714057,254.65625,28.889457388970065,2.428036043737065,0.7362390226807044,2.1062952806486,1.6297675422832287,2.1002919008505136,4.166656590376606,0.863061970395776,1.4287623042929387,0.37183117189167314,0.00961750399109402,0.40235334283847196,0.011491094512892415,0.5124063004822073,0.022830441629934906,0.22620695756419743,0.002406617903928045,0.31609702800773953,0.0038096831631795865,0.44508526206027715,0.010395970504557055,0.35624060835788746,0.007670534987299056,0.36754866923743573,0.006486381034508299,0.6022933077911471,0.18863328261666865,0.45925500854913454,0.14356799362210537,0.5915741167779639,0.18449243230598739,2.1648461240838217,0.2753591461851457,2.1571096128257468,0.27732838880971356,2.1641204059881787,0.27396619189904536,2.153525206641917,0.27464264340573047,2.1732791022533897,0.27590050627349694,12.800559969183869,31.28154495685403,0.3940059844038193,19.050962797387886,0.2817545778818667,0.7996241275900617,4.813284716147412,55.938419859988784,42.41557272662104,1188.8629940351013,15.843514389661884,1
